"","Age","Prevalence","SD"
"1",0,0,0
"2",1,0.0759424588674765,0.00169238659746017
"3",2,0.145103731254956,0.00305456416500981
"4",3,0.208089784504615,0.00413310213865881
"5",4,0.265452396407311,0.00496898199923443
"6",5,0.317694004792314,0.00559823957981101
"7",6,0.365272122788997,0.00605253895218236
"8",7,0.408603358687834,0.0063596851816577
"9",8,0.448067075836464,0.00654408243515885
"10",9,0.484008724828498,0.00662714316479388
"11",10,0.516742877349864,0.00662765334421072
"12",11,0.546555988414223,0.00656209798065595
"13",12,0.573708911322067,0.00644495033130636
"14",13,0.598439187496257,0.00628892738827895
"15",14,0.620963131360667,0.00610521324272853
"16",15,0.641477728620734,0.00590365090258877
"17",16,0.660162364658998,0.0056929020877193
"18",17,0.677180398260664,0.00548057363027913
"19",18,0.692680594520548,0.00527330868629769
"20",19,0.706798429541358,0.00507684150226869
"21",20,0.719657278403269,0.00489601655488954
"22",21,0.731369496856042,0.00473477691524202
"23",22,0.742037406248476,0.00459613250757565
"24",23,0.751754190357547,0.00448212528238266
"25",24,0.760604712003499,0.00439381274666187
"26",25,0.768666256630726,0.00433129087605922
"27",26,0.776009209391132,0.00429377045246495
"28",27,0.782697671681176,0.00427970844763933
"29",28,0.788790022550815,0.0042869823331391
"30",29,0.794339429917328,0.00431308529667465
"31",30,0.799394316075253,0.00435531759422501
"32",31,0.803998781591524,0.00441095351030858
"33",32,0.808192991308782,0.00447737170802987
"34",33,0.812013525846488,0.00455214550540293
"35",34,0.81549370168607,0.00463309627962112
"36",35,0.818663862650022,0.00471831690006648
"37",36,0.821551645333378,0.00480617319586041
"38",37,0.824182220817005,0.00489529087529778
"39",38,0.826578514783671,0.00498453391717518
"40",39,0.828761407968042,0.00507297887364425
"41",40,0.830749918698959,0.00515988810424483
"42",41,0.832561369135018,0.00524468383520467
"43",42,0.834211536651217,0.00532692411847096
"44",43,0.835714791704039,0.0054062812065998
"45",44,0.837084223383585,0.00548252250170619
"46",45,0.83833175375325,0.00555549402187914
"47",46,0.839468241979027,0.00562510621045676
"48",47,0.84050357916088,0.00569132185797379
"49",48,0.841446774697035,0.00575414588938988
"50",49,0.842306034937736,0.00581361677428222
"51",50,0.843088834817364,0.00586979933465345
"52",51,0.84380198309223,0.00592277874740811
"53",52,0.844451681755259,0.00597265556253065
"54",53,0.845043580147714,0.00601954158137766
"55",54,0.845582824241619,0.00606355646114187
"56",55,0.84607410152421,0.00610482493096272
"57",56,0.84652168187716,0.00614347452222015
"58",57,0.846929454808269,0.00617963373033764
"59",58,0.847300963361291,0.00621343053811899
"60",59,0.84763943500053,0.00624499124147836
"61",60,0.847947809740264,0.00627443952762888
"62",61,0.848228765764995,0.00630189576359402
"63",62,0.848484742764486,0.00632747645950353
"64",63,0.848717963187585,0.00635129387670982
"65",64,0.848930451600576,0.00637345575547035
"66",65,0.849124052319242,0.00639406514091906
"67",66,0.849300445468687,0.00641322028941132
"68",67,0.849461161611209,0.00643101464016755
"69",68,0.84960759507002,0.00644753683954351
"70",69,0.849741016065138,0.00646287080728804
"71",70,0.849862581767454,0.00647709583586942
"72",71,0.849973346367467,0.00649028671540876
"73",72,0.850074270246585,0.00650251387799254
"74",73,0.850166228331039,0.00651384355618185
"75",74,0.850250017701319,0.00652433795142087
"76",75,0.850326364523518,0.00653405540879687
"77",76,0.850395930363055,0.00654305059523815
"78",77,0.850459317935865,0.0065513746787729
"79",78,0.850517076347191,0.00655907550692491
"80",79,0.850569705863682,0.00656619778270453
"81",80,0.850617662260394,0.00657278323697509
"82",81,0.850661360780588,0.00657887079624553
"83",82,0.850701179742845,0.00658449674516694
"84",83,0.850737463826932,0.00658969488320029
"85",84,0.850770527067046,0.00659449667508018
"86",85,0.850800655578522,0.00659893139483065
"87",86,0.850828110041747,0.00660302626319687
"88",87,0.850853127964926,0.00660680657844467
"89",88,0.850875925745396,0.0066102958405522
"90",89,0.850896700547433,0.00661351586887528
"91",90,0.850915632012916,0.00661648691341455
"92",91,0.850932883819715,0.00661922775984805
"93",92,0.85094860510139,0.00662175582852068
"94",93,0.850962931740532,0.00662408726760243
"95",94,0.850975987547018,0.00662623704064193
"96",95,0.850987885331414,0.0066282190087515
"97",96,0.850998727882875,0.00663004600766563
"98",97,0.851008608860041,0.00663172991991708
"99",98,0.851017613602667,0.00663328174237434
"100",99,0.851025819871066,0.0066347116493817
"101",100,0.851033298519763,0.00663602905173872
