V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0.0263930811647428,0.0016575440409803,0.011283696964994,0.0133319152239118,-0.00173378909851453,-0.0278519567316518,-0.0268088942139076,-0.00176572598844812,-0.00149475469882955,0.00107401140876656
0.00165754404098029,0.00383878433228268,0.00178207900852432,0.00110242105509465,-0.00362902486969898,-0.00236742829396871,-0.000982902867047625,-0.00388334250545059,-0.00388894202056767,-0.000511651849089221
0.011283696964994,0.00178207900852432,0.0117664108185147,0.00323718202754859,-0.00164034644245647,-0.0231637628179379,-0.00381941340008894,-0.00206310510576121,-0.00154244958109448,-0.00293650610794121
0.0133319152239118,0.00110242105509466,0.00323718202754861,0.0134172651244588,-0.000966147573143709,-0.00419531364294244,-0.021024972460735,-0.00105662467284504,-0.00123550229596383,-0.00309964603499933
-0.00173378909851453,-0.00362902486969899,-0.00164034644245647,-0.00096614757314371,0.00550557525011191,0.00230155650537027,0.000994615225082494,0.00338579254542633,0.00286592193831094,0.00042005840384742
-0.0278519567316517,-0.00236742829396871,-0.0231637628179379,-0.00419531364294238,0.00230155650537027,0.0573742139142832,0.00944792272512601,0.00270641458694679,0.00201993499942998,-0.00207568765593217
-0.0268088942139077,-0.000982902867047632,-0.003819413400089,-0.021024972460735,0.000994615225082498,0.00944792272512613,0.0416490381022116,0.000960506558701765,0.00100529443709187,-0.00050806892424557
-0.00176572598844812,-0.00388334250545059,-0.00206310510576121,-0.00105662467284504,0.00338579254542632,0.00270641458694678,0.000960506558701757,0.00463101769841492,0.00331088757084043,0.000578191092238839
-0.00149475469882954,-0.00388894202056767,-0.00154244958109448,-0.00123550229596383,0.00286592193831092,0.00201993499942998,0.00100529443709187,0.00331088757084042,0.00514511186961183,0.000487846036220946
0.00107401140876658,-0.000511651849089219,-0.0029365061079412,-0.00309964603499933,0.000420058403847417,-0.0020756876559322,-0.00050806892424558,0.000578191092238837,0.000487846036220945,0.00851833699680817
