b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80
332.507794662157,326.05055337402,332.064675501622,343.432709964603,352.156716519835,358.288882040284,361.60905058735,367.939144209934,346.285465116891,364.656226785028,344.779446972577,296.345095446195,282.237390237022,263.43601639577,255.897588312285,207.488331233614,391.714172429765,385.385345305214,390.337546557627,398.145165291131,404.412441220014,408.292162001944,410.608386422478,414.01973320448,425.508554121044,415.991847068922,414.984669705512,418.542778012778,421.435822059549,423.04253415592,423.906139958693,425.619409414453,281.070645115273,286.279494295589,280.025191117233,264.121822630742,263.380898221736,258.184856914858,256.652140900504,237.826510582706,306.705898633284,299.910052727157,306.25803390045,318.326006936322,328.793836030827,336.502186703315,341.064186729931,349.632299339634,326.892622107069,319.442236367481,325.685502784856,337.169191343249,346.002167798369,352.177135093646,355.471195449312,362.308186786271,312.617760039592,320.674196916902,311.355379369063,288.457214566828,284.712303087495,276.838106539934,274.189502498987,249.791709198083,334.780670660163,344.670258913126,333.085504784025,305.591257680306,298.880176238344,288.692449158996,284.750813247235,258.025911821325,370.606701965925,362.059043287036,368.919497769984,379.208852317062,387.458085395161,392.50998552115,395.433419796041,400.540105413412
166.254973304548,163.026112261754,166.032300836216,171.716196038144,176.078298030512,179.144918401849,180.804648753543,183.969064841458,173.142366316761,182.327976476814,172.389764724136,148.172062510785,141.118528211158,131.718622133725,127.948953013616,103.745527842728,195.856970924149,192.692734812364,195.168772746292,199.072566767149,202.20621573417,204.145435298528,205.304201844607,207.008648028435,212.754693879834,207.996045616817,207.492333066941,209.271669756263,210.717898525828,211.524312960174,211.953039390235,212.810361995013,140.534132395242,143.139350214544,140.012701322682,132.061025105315,131.690517167286,129.092582708533,128.326190185706,118.912555697642,153.353126115108,149.955698505149,153.128945264096,159.162820344017,164.396855723886,168.251468488577,170.532142936466,174.814176642975,163.447124338185,159.721493114737,162.842831741477,168.58443788033,173.00101908092,176.080632456844,177.734978260151,181.153238076979,156.310369457976,160.337764371138,155.677688455236,144.228619282449,142.356159006191,138.420111401443,137.094844001381,124.897488626273,167.391993572921,172.336338401432,166.542639162846,152.79618829278,149.440393650966,144.351667985645,142.376777768175,129.009989558503,185.301201341059,181.027937931678,184.45996418778,189.604767432299,193.729435498218,196.258051385459,197.717617142873,200.264335839676
110.836752883634,108.684242555165,110.688185668839,114.477446830078,117.385553452305,119.430002958003,120.537811198967,122.646318961376,115.428433818609,121.552094754169,114.926497802569,98.7816258576145,94.0791638006514,87.812177970571,85.3001146458005,69.1624574758981,130.571665453906,128.461975607393,130.112496852719,132.715020409524,134.804131360739,136.097404979615,136.869218039434,138.006442851888,141.838856651035,138.665190648203,138.328082955163,139.514262934332,140.478491361664,141.014514399038,141.302097443386,141.848794013099,93.6908743935895,95.42680113998,93.3417501409078,88.0407444945222,87.7936782473246,86.0617065875015,85.5518491707236,79.2750652129883,102.237144686819,99.9713028577594,102.085888867093,106.108420699558,109.597843843097,112.167350409478,113.683388370671,116.544048054424,108.970850094875,106.483942712302,108.561526489145,112.389125459011,115.334030116934,117.38730699968,118.48971298177,120.772997180851,104.206798471603,106.891815413116,103.78511791067,96.1525194270018,94.9041454983619,92.2796374802613,91.3965620668122,83.2638855106434,111.601280444819,114.89336256908,111.028367634063,101.865670567529,99.6276847086808,96.2326633613112,94.9177843802093,85.9962397417803,123.537937779232,120.687636255201,122.973029956241,126.402746585033,129.152557744806,130.837573761525,131.810754618509,133.517917716369
83.1184273946657,81.5037165922993,83.0165191793525,85.8595755311615,88.0397437725523,89.5730068873214,90.4025202981627,91.9798176372833,86.5703841939228,91.1632903617555,86.1947128131507,74.0850341164436,70.5588267056406,65.8585102843788,63.974179403844,51.8764940922437,97.9280476941503,96.3460799553184,97.5844175253692,99.5363428719799,101.103001699371,102.072943646346,102.652108832926,103.503079877329,106.376109989079,103.997265869633,103.746250758774,104.635934114628,105.358998248311,105.760979948697,105.976497188537,106.404692430202,70.2664050359956,71.5692035329489,70.0061794014998,66.0292760322899,65.844854667654,64.5457882315429,64.162776355708,59.4614093391987,76.6651876275195,74.9672996562718,76.5651901335022,79.58329352142,82.1993972700963,84.1261057768003,85.2664064344633,87.443983041135,81.7250425021555,79.8614529566661,81.4213342487609,84.2921100911715,86.5004754279016,88.0405488133693,88.8677785630568,90.5775536971619,78.1548547272445,80.1686274035703,77.8388531305803,72.1142085950122,71.1778812025887,69.2093745870841,68.5474085060191,62.4575613848889,83.6870612010791,86.1625130703822,83.2713034130969,76.3966789302266,74.7195670042934,72.1735401823769,71.1880085900438,64.5102478573742,92.6517130039392,90.514695393111,92.22990469443,94.8020967724054,96.8644815708417,98.128172113065,98.8585940184693,100.140789066527
66.5012526718143,65.2104775304018,66.4129132106934,68.6865154073536,70.4313330786922,71.6583960183741,72.3219060405023,73.5877551250538,69.2568089626883,72.9312273963357,68.9558655278182,59.268940922213,56.4474559834461,52.6875981899366,51.1796192783944,41.4976648011192,78.3429590206188,77.0771708098005,78.0675027913574,79.6290216805814,80.8824847841456,81.6584966300231,82.1216105286462,82.8037998675611,85.1013465576125,83.1984480644338,82.9969381912515,83.708667992552,84.2871567481452,84.608792939403,84.7812283801945,85.1242520351483,56.2146400364673,57.256168489215,56.0051134344867,52.8243796718732,52.6761900889861,51.6369732043053,51.3304537127362,47.5653315521918,61.3410797345665,59.9820465971137,61.2515884136992,63.6652171161312,65.7587677506714,67.3005450215559,68.212879246621,69.9264777335199,65.3789242533028,63.8886245109193,65.1371680179845,67.4337556222393,69.200415364491,70.4324183726264,71.0942368750867,72.4617516560924,62.5236631592588,64.1350462787162,62.2710999668091,57.6914902857711,56.9424840524055,55.3676672430142,54.8380398113181,49.958347570807,66.9564090288275,68.9344512385823,66.6170745983533,61.1182572314163,59.7760289606952,57.7412493131739,56.9509342179113,51.6047020416986,74.1201551636866,72.4119672480225,73.7839194352212,75.8417557068519,77.491644455925,78.5021060894467,79.0864794316263,80.1059999653792
55.415913460138,54.3396347663637,55.3441314091588,57.2389267638697,58.6929043094613,59.7150991858128,60.2679338103438,61.3206809818606,57.7139066473518,60.7758128995639,57.4631974353591,49.3897829483286,47.0392626016796,43.905787101333,42.6482878910944,34.5870753772152,65.2849919606573,64.2302150194545,65.0562825505065,66.3576173475244,67.402142234829,68.0487704412823,68.4340961479339,69.0031828924757,70.9170841926442,69.3312561832781,69.1641853960032,69.7574374807266,70.2393129311613,70.507352518471,70.6491162746088,70.9330677120672,46.8452006759001,47.7131742576681,46.6707147712124,44.0198845762994,43.8965976846354,43.0306386353304,42.7742118774732,39.6407541758496,51.1177729069956,49.9850657713195,51.0429754441283,53.0546421860178,54.7989311454348,56.083733885312,56.8439889565928,58.2717253871876,54.4746838985036,53.2343495011503,54.2813209897458,56.1964624161213,57.6672718097029,58.694170537137,59.2408588047242,60.4201403635499,52.0993438635334,53.4430367606988,51.892431245467,48.0746714381163,47.4518554231563,46.1396502619534,45.6977842407034,41.6313442729289,55.7946136976429,57.4439601230586,55.514134615632,50.931246512791,49.8127528512444,48.1156244020389,47.4466837197769,43.0206901737083,61.7682149682457,60.343275500777,61.4865735113608,63.2009190940107,64.576451692782,65.4187450182191,65.917398186877,66.748475036552
47.5011584729559,46.57866448751,47.4378002142175,49.061812484035,50.3081027356888,51.1842992090155,51.6584776812387,52.5627303047011,49.4693545198883,52.0937685704077,49.2542190852302,42.3350175275877,40.3196330936423,37.6337929588093,36.5568517130128,29.641167338505,55.9591869568368,55.0550634333612,55.7625031517415,56.8778781216448,57.7732058565013,58.3274636805139,58.6583432759664,59.1456837779042,60.7869293349797,59.4272990884042,59.2835246189011,59.7919099381748,60.2051192970051,60.4348294795819,60.5580105147476,60.8028472836886,40.1529343930587,40.8971037597291,40.0036199235295,37.7316957319286,37.6258457218204,36.8835742468887,36.6646190106258,33.9751982857427,43.815121026704,42.8442452519611,43.7511237050627,45.4751553156038,46.9705486517093,48.0717502603428,48.7234748563999,49.9474530533856,46.6990373524057,45.6344287146243,46.5265330373972,48.1669835373163,49.4288767428372,50.3089055998779,50.7814368578922,51.7582665897936,44.6597742520754,45.810669737085,44.4793473166755,41.208186597722,40.6731914965445,39.5483994759314,39.1699527359912,35.6845178243061,47.8257328000314,49.2392088147424,47.5836287626531,43.6559475799763,42.6971824648185,41.2422630633641,40.6790320056563,36.8607655920185,52.9437792467281,51.7225560749919,52.7028008270373,54.1726963865303,55.3511627012214,56.0732716444855,56.4906920127746,57.2197829262709
41.5644303338128,40.7571482646554,41.5080265998902,42.9289612057344,44.0195012093086,44.7862183428695,45.2011456270893,45.9928702362383,43.2857849795562,45.5820579816405,43.0974158070959,37.0432259177877,35.2796531324145,32.9296064313623,31.9872548128206,25.9360420878195,48.9643950300276,48.1732780610008,48.7921818784396,49.7681314613082,50.5515378694005,51.0365240079812,51.3260470022821,51.7526297138709,53.1901880827304,51.9998109770425,51.8729816154234,52.3177874965255,52.6793081361139,52.880436178128,52.9882436384256,53.2028850449425,35.1357295776601,35.7860167273455,35.0031333277175,33.0154575713106,32.9226890878929,32.2731772568584,32.081550034759,29.7276520718616,38.3381616441333,37.4887104139203,38.2822561407428,39.7908186177252,41.0992282666688,42.0628114554692,42.6330425055759,43.703167419403,40.8650766918783,39.9319351898144,40.7104975716647,42.1458018498447,43.2498977082042,44.0201880337033,44.4336969533528,45.2923866628259,39.077315217852,40.0843826950067,38.919450429857,36.0572173602831,35.5890782092642,34.604882722639,34.2737227607833,31.2229719130163,41.8515200424821,43.0854717162187,41.6356293318692,38.2000233098996,37.3598677877327,36.087414733795,35.5942897525428,32.2522829923231,46.3298187553885,45.2596684057954,46.114644509978,47.40069121371,48.4319413772882,49.0640615461894,49.4292713522702,50.0459726773298
36.9453349482687,36.2278711883221,36.8960749876218,38.1591855441498,39.1285244556546,39.8100076737697,40.1787623559233,40.8821203123845,38.4761592255487,40.5173653053061,38.3088299316382,32.9272300004119,31.3597111454671,29.2707470003566,28.4330757506925,23.0542381807803,43.5238034636545,42.8206030852069,43.3708376315629,44.2383503335454,44.9347159420809,45.3658201825979,45.6231230531718,46.0021868126833,47.2787184706182,46.2213186586855,46.1094114950769,46.5048191403583,46.8262042045983,47.0048610196337,47.1006748082126,47.2911081358965,31.2300605353789,31.808826184029,31.113922252676,29.3468728906702,29.2645467565914,28.6872364985503,28.5169164132877,26.4251575536204,34.0783949710779,33.3233187913872,34.0286694624954,35.3695648595123,36.532650435157,37.3891421236053,37.8960534165159,38.8480153535463,36.321449523041,35.4936369229452,36.18730323874,37.4632147714966,38.4446829837112,39.1292056619071,39.4966288415519,40.2563973441572,34.7353808490755,35.6305095010521,34.5950451774402,32.0508081973091,31.6347037189288,30.7598691018451,30.4658202418104,27.7546160426339,37.1978078527547,38.2967022433524,37.0094831023806,33.9546287549742,33.2089226415521,32.0773424535042,31.6392484261254,28.6694574470474,41.1784769321368,40.2287597282701,40.9910692145726,42.1343236374966,43.0509055675649,43.6125309997988,43.9372064331915,44.5043125789756
33.2509148959616,32.6051966057027,33.2064582162972,34.3432489258305,35.2156648245923,35.8290120821828,36.1609345363717,36.7940107213097,34.6285114838741,36.4656118642801,34.4779470138317,29.6344959755487,28.2237361652033,26.3436534764041,25.5897904940572,20.7490529549281,39.1714375046648,38.5385557014449,39.033751989018,39.8145141209777,40.4412434336404,40.8292270051393,41.0608384731168,41.4020060276743,42.5506086061684,41.5990680429094,41.4984833166624,41.8543638365641,42.1435655302478,42.3042697033074,42.3905105750362,42.5649292014436,28.1072408852479,28.6280673269047,28.0025365258797,26.4122122093266,26.3381023160632,25.8185103015557,25.6652377149191,23.7825463045955,30.6704347804203,29.9908850056698,30.6258094621145,31.8326337461689,32.8793949122305,33.6502033015579,34.1064337359285,34.9633254420062,32.6884846004817,31.94375690613,32.5686283798473,33.7169825474535,34.6002657539425,35.2162827307164,35.5471044946563,36.2317613080691,31.2617777999078,32.0674357423563,31.1355475568825,28.8457298836686,28.471235212428,27.6838836730322,27.4189714863982,24.9789621234695,33.4774717585854,34.466732138329,33.3085301820316,30.5590086792716,29.8879548517682,28.8694173305315,28.4752094394334,25.8052613840507,37.0606804647542,36.2059239740238,36.8919594239108,37.9208952397516,38.7458216429803,39.2513028887788,39.5433639323925,40.050290190138
